,DATE,REVIEW,star
0,2021-2-23,시간을 아~주 오래들이면 노현질로도 충분히 즐길수있는게임 처음엔 약탈당하고 어려울수있으나 길드원들에게 도움청하면 아주잘 도와주심 무과금으로 1년 넘게해봤는데 충분히 싸우고 즐길수있음 요샌 이벤트를 퍼주고있어서 부계정 새로키웠는데 본계정만큼 크고있음ㅇㅅㅇ,5
1,2021-1-22,"혹여나 이벤 때문에 시작하려한다면, 하지마세요. 현질 유도게임입니다. 게임에 현질안할사람은 시작도 안하는시길 바랍니다. 그리고 다른유저들의 약탈도 심해서 하루일과가 온전히 이워지지 않을 가능성도 큽니다. 그리고 현질을 하더라도 상점도 사람마다 달라서 진짜 돈만쓰고 쪼랩/쭈구리 되는 경우 많습니다.",1
2,2021-1-16,"돈없음 절대,절~~~대 할 수없는 게임...시작이 후회되는 게임입니다...길드가입해서 길드분들께 아무리 도움받는다해도 현질없음 절대 계속 이어갈 수없는 게임입니다...ㅠ 현질해서 키워도 그닥 성취감도없고...정말 후회막심...ㅠㅠㅠ",1
3,2021-2-5,"ㅋㅋ 게임 자체는 그냥 평범 그 자체인데 이벤트 돈 안줘서 평점 겁나 깎이네ㅋㅋㅋ 세력 20만 찍는데 2,3일 걸렸는데 아무 보상도 안하니 화가 날수밖에.. 난 그래도 2점은 줍니다. ^^ 게임 자체는 그냥저냥임. 특별할거 없음",2
4,2021-1-16,솔로이벤트 보상으로 모그리 크레딧이 계속 안들어오네요. 여태 못 받은것만 몇천 크레딧 되는듯하네요. 버그인것 같은데 문의할수 있는곳도 없고 짜증나네요. ㅡㅡ,1
5,2021-2-14,막 집중해서 안해도 쏠쏠히 키우는 재미가 있네요 ㅎ 인내심은 필수. 성격 급한사람은 현질 없이는 못할거 같긴 해요.,5
6,2021-1-13,로드모바일 벤치마킹 하려면 제대로 좀 하시지 시작부터 과금에 완전폭망 겜 입니다 직원분들은 로드모바일 설치하고 차이를 조금 느끼셨으면 합니다,1
7,2021-1-17,투자한 돈이 아까워서 그냥 하고있는 게임. 운영자 자신들의 실수로 발생한 문제에 대한 보상 약속조차 지키지 않고 시간 끌기로 대응하는 거짓말쟁이 회사.,1
8,2021-2-3,럭키볼에서 보상받으려고 깔았는데 이젠 매일 이 게임만 하고 있네요 ㅎㅎ 너무 재밌어요 근데 바쁜 사람은 잘 못할것같네요 시간이 많이 필요합니다. 시간 많으신분은 한번 해보시길 추천드려요!♥,5
9,2021-3-15,진짜 병x 같은 게임이다. 현질 유도 오지고 컨텐츠는 없고ㅋㅋ 만든사람 얼굴한번 보고 싶네 ㅋㅋ,1
10,2021-2-24,레벨올릴수록돈이많이듬 한번사면 다신그가격으로못삼 계속가격이오름,1
11,2021-3-11,솔직히 별 하나도 아까움.. 돈에 환장한 게임 ㅋㅋ 영자들은 지들 실수를 유저한테 책임 전가함.. 범죄자 단체 집합체가 아닌가 싶음.,1
12,2021-1-17,정찰당해서 패배하면 세력 까이고 다시 안돌아오는건가? 진짜 20만 모으려고 생고생을 다했는데 ... 의료병동에서 치료효과도 없음,1
13,2021-1-26,별점 1주는 사람들 말이 말이안됩니다. 현질 유도게임이라고 난리 치시는분도 계시는데 이거 현질 없이도 엄청 많이 줘서 넘쳐나는 게임입니다.너무 좋아요,5
14,2021-1-25,현질유도 심하고 세력올리기 어려움 포인트 얻는 이벤땜에하는데 노잼임 쉬운 이벤트나 풍부한 보상 또한 없음 그래픽이 너무 투박함,5
15,2021-2-13,치우는 재미는 있는데 모든게 현질을해야해서 짜증남 현질은 절대안함,5
16,2021-1-24,시간 오래걸리므로 시간적인 여유가되시는분께만 추천,5
17,2021-1-17,Mp 1000 아이템 일일이 한개씩 해야하는것좀 바꿔주세요 만개넘게있는데 답답,4
18,2021-2-14,게임내 상품의 가격이 높다는 생각이 든다.,4
19,2021-2-6,랩업하기 힘들고 너무 지루하고 재미없는 게임,1
20,2021-2-6,이거 절대돈없이는20까지못올려요 ..,1
21,2021-3-4,너무 재밌어요 꼭 해보시길,5
22,2021-2-4,게임기록 초기화가 안되네요 어떻게 해야하나요,4
23,2021-1-19,재밌네요 ㅎㅎ 금방금방 레벨도오르고 ㅋㅋㅋ시간가는줄 모르겠음ㅋㅋㅋ,5
24,2021-3-1,제대로 하려면 현질많이해야함,5
25,2021-2-9,돈이 너무 많이 덜어서못하겠다,1
26,2021-3-10,시간 겁나 오래걸림.,5
27,2021-3-8,재밌어요 꼭 해보시길,5
28,2021-3-13,잼써요 ㅎㅎㅎ 할만해요 돈많이들어요,5
29,2021-1-20,무과금유저는 ㅜㅜ 힘든게임,3
30,2021-3-10,운영자가 게임을 엉망으로 만드는 게임,1
31,2021-1-16,어렵긴한데 그나마 시간 잘 가네요,5
32,2021-1-23,건물 업그레이드 하는 부분 개선해주셨으면좋겠어요,5
33,2021-1-18,과금 유도 개쩌는 게임 렉 개 쩌는 게임,1
34,2021-2-4,저는 현질안해도 많이 모았습니다,5
35,2021-1-18,과금 유도가 심각하네요,2
36,2021-1-25,자원이 너무 딸리네요 ㅜ ㅜ,3
37,2021-1-27,너무 현질유도하네요,2
38,2021-1-13,그냥심심할때 하기좋은게임,5
39,2021-2-15,넘 과금 위주로만 함...,1
40,2021-2-20,시간 오지게 걸림용,1
41,2021-1-27,굉장히 난해한데 잼나게 하거잇네여,5
42,2021-1-15,현칠유도 겁나 심하지만 존버하면 거의 다줌 십원도 현칠안하고 1년째 하는중 ㅋㅋㅋㅋ,3
43,2021-1-21,심플하고 할만합니다,5
44,2021-1-18,"와..현질유도 오지게 많이하냐 현질유도 작작해라 오늘 처음했는데 렉 걸리고 공격도 24시간마다 무료네 진짜 이게임 하지마 리뷰보니까 다들 현질유도 심하다고 해서 안할까 했는데 다른 리뷰 보니까 재미는 있다고 해서 했는데 여기에 돈쓰기엔 아까워 이런게임은 하지마셈 너무 구리네 그리고 보상을 왜 안줘? 먹튀야?과금하게 해놓고 보상을 안주는 것 같다는데 또 문의할 곳이 왜 없냐 문의할 곳은 제일 기본임 문의할 곳이 없으면 안돼 문의할 곳 만들고 게임 다운받아서 느껴봐라 이게 게임이냐 성취감도 없다고 하네 그리고 길드가임해서 길드분들 한테...
전체 리뷰",1
45,2021-2-5,이벤트로시작하긴햇는데ㅋㅋ잼있음 그냥더하게됨,5
46,2021-2-2,게임 내부오류..이상하게 게임하면서 내부오류라고 하며 5초후 다시 실행된다더니 계속 똑같이 돌아간다... 결국 삭제하고 다시 설치하면 다행히 실행되어 지금 3번짼가 4번째 재설치 중이다....,2
47,2021-1-23,시간보내기 좋은 게임,5
48,2021-1-25,조금 어렵고 힘드러요,5
49,2021-1-30,무슨겜인지도모르겠고 돈만절라쓰게하고 졸노개잼,1
