,DATE,REVIEW,star
0,2021-3-10,"과하다싶을정도로 과금해가며 플레이해본적도 있으나, 지금은 킬링타임용으로 가끔씩 접속해보는 유저입니다. 개인적으로 옛 추억에 젖어 시작하시는분들이라면 매우 비추합니다. 유명 BJ가 말한대로 '뽑기 도박판' 그 이상도 이하도 아닙니다. 이 정도 주가와 매출액을 달성한 기업중에 이 정도로 고객과의 약속을 지키지 않는 기업이 있을까요? 아래 고객리뷰에 게임사에서 달아놓은 댓글들 보시면 아시겠지만, 매우 상투적이고 형식적인 답변들뿐입니다. 그래도 시작하시겠다 하시는분들은 매월 과금한도를 정해놓고 시작하시길 권장드립니다.",1
1,2021-3-10,"1점 평가점수도 많다.0점도 벌점도 만들어 게임정지나 아예 없애는방향도 모색할 필요가있다.정말 게임에대한 평가보다는 돈만벌면 된다는 사고를가진 개발자가 수두룩한것 같다.욕먹어도 니들은 짓겨라.난 돈만벌란다.이런사고를가진 재수없는게임사의게임. 돈질없음 사냥터는 고정된곳. 돈질없음 사냥으론 아이템은 복불복 조차도 안되는게임. 나라에 세금만 내면 국민들은 게임중독으로 현질로 죽어도된다는게임. 불법 도박성 이상인 유료아이템 상점아이템을 없애고 정액제로 돌려야하는게임. 아이템도 사냥으로 획득하게 고쳐야 되는게임. 고쳐지지않음 시작조차도 하지...
전체 리뷰",1
2,2021-3-10,정말 정떨어진다 돈독이올라서 이제는 스펙업하는 모든 방법이 다이아(유료재화)를 통해서밖에없다 원래도 낮던 희귀템이상 아이템드랍율은 땅을치고 일부보스몬스터(몇천혹은 몇억이상씩쓴 호구아재들만잡을수있음)정도는잡아야 영웅템이상이라도얻는다. 이것도 쪼개먹겠지만 .. 렙 80까지 희귀템한번못먹은사람이 허다하다. 결국 아이템은 무조건 결재로사란말..내가 게임에 돈많이썼다고 전창으로 지아들보다 유치하게 지껄여대는 한심한 40-50대아저씨들. 지친다^^,1
3,2021-3-10,아니 처음게임을 시작을 하면 적어도 어는정도 장비지원같은거 라도 좀 해줘야하는거 아님니까! 뭐 이거 현질안하면 따라도 못가서 쳐뒤기나 하고 몬스터한태 맞아뒤지고 유저들가까이 가도 맞아 쳐뒤지고 현질없이는 퀘스트1도 못하는게임이내요 최소 맞아 죽지 않을 정도의 장비지원은 좀해주고 현질유도 하세요 돈만받아 쳐먹지 마시구요!!!그렇니깐 리니지가 욕을 먹는겁니다 정신차리세요!!돈만보지말고 유저들이 편하고 재밌게 즐길수있는 게임을 만드세요,1
4,2021-3-8,그냥 하지마세요 추억으로 몇천억 단위 매출이면 끝나는 회사입니다 고객들과 약속도 안지키고 빨아먹기 바쁘고 항상 답변은 복사 붙이기 마음이 아프다 걱정된다 등등 개소리로 리뷰뎃 달기 이걸로 몇십년 우려먹었습니다 그래도 하겠다면 말리진 않겠음.. 잘생각 하시고.. 현실에 충실하세요 유저 다 떠나갈때쯤 개인거래 나오겄지.. 쯧쯧...,1
5,2021-3-8,"리니지M 설치후 캐릭터 생성까지하고 재미가 없어서 지웠는데 아무것도 안누르고 결제하는거 아무것도 안했는데 11만원 결제됐는데, 이게 무슨 경우인가요ㅡㅡ? 당장 환불해주세요ㅡㅡ",1
6,2021-3-8,별하나도 아까운게임이...점점 쓰레기가 되버렸네요 돈만보고 가는 게임.... 현질유도.메크로 관리 안되고 막피에 안죽을라고 돈을 써볼까 했지만 얼마나해야할지 끝도 안보이고.게임하나로 전재산털린사람도 나온다는데 적당히 좀 쳐드세요,1
7,2020-11-1,pc리니지 초창기부터 했던 유저라 리니지m도 재밌게 했는데 갈수록 pc리니지처럼 막을 내리는거 같아 안타깝네요.nc소프트 다른게임이라도 발전하면 좋을텐데 시간이갈수록 유저들이 내라막길이라 안타깝네요.,1
8,2021-3-14,다운 다 했는데 초반 게임 이용약관 창에서 전부 동의했는데 왜 그 다음으로 안넘어가지죠? 뭐 다음으로 넘어가는 버튼도 없고 전체동의해도 자동으로 안넘어가져서 X버튼 누르면 게임꺼지고..,1
9,2021-3-14,별 한개도 아깝다. 아이템 팔때 확률을 볼수 있도록 빨리 법제화가 되어 사행성 게임의 종말을 보고싶다. 운영자 댓글 달지마..토나온다.,1
10,2021-3-14,ㅋㅋㅋ 나이먹다보니 20년전 리니지 생각하다 막상 해보니 현질이 없으면 안됨 월5만원씩 투입하니 ㅋㅋ 딱 그정도에서만 그이상 발전없음 ㅋㅋ 추접스럽네 ㅋㅋ 안하면 그만이지만 옛추억 가지고왔는데 너무하네,1
11,2021-3-15,"엄청난 과금을 할게 아니라면 하기힘듬. 추억때문에 하고있지만 소과금으론 따라가기 벅참. 매주 정기점검,패치는 하는데 내용은 과금상품만 나오고 과금유도 엄청심함",1
12,2021-2-28,이건 게임이 아닙니다. 빨때꼽아 돈뜯어가는 양아치 게임입니다. 말만 확률템이지. 도박도 어느정도 돈쓰면 한번이라도 잭팟이라도 나오지만 애네들은 끝까지 유저뽕을 뽑아감... 그지같은게임..,1
13,2021-3-10,#갤럭시s10 얼마전까지 린m 잘하고 있었는데 ui3.0업뎃 후 리니지 게임중 커뮤니티 보다가 나오면 전에는 괜찮았는데 지금은 게임이 먹통이되네여 암것도 안눌러저여 혹시 방법 알수있을까여? 겜은 잼나여^^ 막피가 쫌 심하긴 하지만ㅠ,4
14,2021-3-15,예전에향수는 찾아볼수도없을뿐더러 진짜 여기어중간하게 몇백써봐야 안쓰는게나음.. 과금하는티도안날뿐더러 결국 돈많은놈이 쎈놈이고 돈없는놈이 약자임,1
15,2021-3-15,분명 나쁘지 않은 게임이에요. 하지만 막피가 너무심해요 저같은 소과금 유저에겐 리니지m이 너무 장벽 높은 게임이네요 다른거 안바랄께요 메뉴에 논피케이 설정하는거 하나만 만들어 주세요. 막피들이 공격해도 공격이 안먹히게끔요. 막피들땜에 게임하기 힘들어요 조용히 자사 돌리다 죽어있는 케릭보면 이게임 꼭해야하나 이런생각이 드네요.,3
16,2021-3-10,도박 과 돈없는자는 못하는 게임 절대로 하지마세요 쓰헤기 게임 입니다 몇백.몇천.몇억 써도 사냥.게임.자동.통제 못해요 이게 게임이냐 도박이지??,1
17,2021-3-10,"말도안돼는 확률을 내걸고 뻔뻔하게 장사를 하고 있지 그런데 그 확률마저 검증할 방법이 없고 설령 나온다해도 중과금 위주로 개평 때주듯이 줄지도 모른다 소과금이나 무과금은 철지히 무시하고 게임에 시간 투자한 사람들은 나아질게없이 샌드백 신세지 그리고 사람 기만하는 이벤트도 신물이 난다 아무것도 안주면서 척은 다하고 말야 막피는 성행하는데 자동사냥에 무분별한 막피 허용도 말이 안되는거고 게임의 본질은 이미 상실한지 오래고 단지 돈벌기 위해서 운영하는 컨탠츠다 아저씨들 살살 꼬셔서 돈벌어 그돈으로 혁신적인척 뭘 선도하는척하고 말야 불만이...
전체 리뷰",1
18,2021-3-11,영인 뽑기만 400들어갔다 난 아직도 희인끌고 사냥다닌다 계속해야하는거 맞냐? 강화확률도 어찌나 그지인지 15번 연속 깨지는건 먼데? 얼마나 더 뽑아먹어야 유저 생각해줄래?,1
19,2021-3-10,현질 안할꺼면 안하는게 나음. 몇천 질러서 무과금 된꼴 보면 마음이 아픔. 사채끼고 하는 게임.,1
