,DATE,REVIEW,star
0,2020-4-19,"게임이 재밌으면 운영을 좀 못하거나 점검을 자주하거나 버그가 생겨도 참고 할 순 있지만 최적화와 발열 문제, 오류를 감수할정도의 매력 요소가 부족하다. 매 라운드마다 카드를 이용한 스킬 시스템은 좋다고 생각한다. 편의성, 오류 패치만 충분히 진행된다면 다시금 다운받아서 해볼만한 게임일 듯 하다.",2
1,2020-4-22,"전투가 너무 무겁다. 캐릭터 뽑기도 맘에드는 캐릭이 안나와서 하기가 싫어진다. 그래픽도 이쁘지가 않음. 총체적으로 어디서부터 건의할지 답답할정도, 한마디로 얘기하면 오래된게임같음. 여러가지 의미에서 시대에 뒤쳐져있음 이쪽게임 스타일도 모르고 욕심만 넘친다. 게임 개발자가 이쪽게임을 다양하게 플레이해보고 만들기를 권장한다. 90년대 피시겜을 모바일에서 하는 느낌.",3
2,2020-5-4,"경험치 획득량을 타 서버의 1/5로 줄여놔서 극초반만 제외하면 육성 자체가 아예 불가능한 지경임. 또한 상점 가격은 5배로 늘려놨고 게임 원탑 적폐캐는 가챠 풀에서 제외해 출시마저 연기하는 역대급 헬적화가 이루어짐. 그리고 그에 대한 운영진의 개선 의지나 명확한 해명조차 없으며, 오히려 이러한 문제를 제기하는 유저들을 제재하며 리뷰 조작을 일삼고 있음. 인터페이스와 시스템도 매우 난잡하며 그에 대한 튜토리얼이나 설명이 한참 모자라는데, 거기에 각종 버그까지 난무하는 등 게임사의 게임 분야에 대한 이해도가 바닥을 기고 있음. 캐릭터가...
전체 리뷰",1
3,2020-4-18,ㅎㅎ..죄송 삭제했어요. 너무 잦은 오류가 많습니다. 물론 개선해 나가야겠지만.. 테블릿으로는 전혀못하겠네요. 그리고 요즘 나오는 게임들에 비해 크게 매리트가 없습니다.. 너무 양산형으로 진입했어요. 획기적인 아이디어로 갓어야했는데.. 일러스트도 너무 고정된 인력으로 그려나간거 같구요. 중소를 무시하진않습니다만. 개인 소비자가 해당게임을 즐기기엔..,1
4,2020-4-17,"총평: 퓨처리스틱, 전략, RPG 셋 다 놓친 게임/ 1. 많이 본 듯한 것들: 플레이하며 붕괴, 벽람항로, 명일방주가 차례로 떠올랐습니다. 컨텐츠가 겹칠 수 있고 어느 정도 겹치는 건 당연합니다. 하지만 가장 큰 문제는 이 게임만의 고유한 컨텐츠가 없다는 것입니다. 2. 신선했지만 딱히 재밌지도 않았던 전투: 턴제 전략에 스킬 카드를 섞은 것은 신선하게 다가왔지만, 전투 자체의 스케일이 너무 작습니다. 4명의 유닛을 1개 편제로 전투를 플레이하는데, 전장 자체도 좁고 장애물의 배치가 너무 노골적이라 변수가 한정되어 뻔해집니다. 3...
전체 리뷰",3
5,2020-4-19,"""미소녀 RPG""에서 'RPG'를 빼고, '수집'을 넣자. 응. 그게 다야. 텍틱스형 RPG이기에 지형 장애물이나 그런 겹치는 요소가 있는건 어쩔 수 없다 쳐도, 아직 오픈한 지 3개월은 안됐으니까 이벤트할 건덕지도 얼마 없다 쳐도. ......너무 뻔합니다. 너무 뻔해서 그게 더 문제야... 텍틱스에 카드를 섞은건 좋은데, 그것도 효과 옵션이나 그런게 너무 뻔하고. 캐릭터에 설정붙이고 장비에 설정붙인것도 신박하긴 했는데 결국은 옆동네 성배전쟁 예장같은 개념이랑 아주 비슷하고... 숙소나 온천. 이것도 옆동네 총기미소녀 게임이랑 뭐...
전체 리뷰",2
6,2020-4-19,일러는 예쁘지만 게임 자체가 완성도가 너무 낮다. 그냥저냥의 밋밋한 전투도 전투지만 보상 수령불가 게임정지 아이템창 오류등 많은 버그와 오류가 있었고 이마저도 오픈 직후 30분 만에 점검 6시간을 했음에도 이모양 이였다. 과금 시스템도 마음에 안드는데 확률은 머같이 낮으면서 천장 시스템 같은게 없다. 그리고 한국 서버만 특정 인기캐릭터가 출시하지 않았는데 인기캐릭 투표를 진행했음에도 그걸 한국서버에만 출시하지 않았다는건 돈뽑아 먹으려는 의도로밖에는 보이지 않았다.,2
7,2020-4-30,"재화가 매우 부족합니다. 행동력부터 캐릭터 능력 승급 재료(경험치칩 등)가 너무 부족해서 지휘관 레벨을 캐릭터(유닛)가 따라오질 못하는 현상이 발생합니다. 기억장치(다른 겜으로 따지면 장비) 레벨을 올리는 것도 재화가 너무 많이 들어갑니다. 공식카페에서 봤는데, 일본 서버랑 한국 서버랑 차별이 너무 심한 것 같습니다. 어떻게 일본 서버랑 캐릭터 경험치칩 필요량 5배, 기억장치 레벨 승급 재료가 12배나 차이가 나죠? 유저를 호구로 보는 겁니까? 빨리 헬적화 말고 최적화 진행 해주세요. 안 그러면 유저분들 다 떨어져 나갈 거 안 봐도...
전체 리뷰",1
8,2020-4-17,"이거 뽑기시스템이 붕괴와 비슷하네요 이렇게 캐릭터와 장비를 같이 혼용되어서 나오면 당연히 캐릭터나올 확률은 줄어들것이고, 그러면 MR등급이 나와도 장비라면 그때문에 현질을 하는사람들이점점 더 늘어나면서 과금과 무과금의 실력차이가 하늘과 땅 차이가 될텐데 그러면 점점 게임이 망해가는것이죠 아직 게임이 출시된지 며칠 안되었기에 이것은 개선해 주시고, 또 캐릭터강화 한다고 하면 유저레벨과 똑같이 가면 레벨을 올리기 힘든유저들은 저랭크에서만 있어야 하는것인가요? 유저레벨과 상관없이 캐릭터 레벨을 올려게 개선해주십시요",1
9,2020-5-1,"장점:1.Sd캐릭터와 꽤나괜찮은스킬임팩트 2. 나름 세분화된 기지시스템 (솔직히 나머지는 일반양상형과 다른게없어서 장점취급해주기도 뭐하다.) 단점: 1.뻔히 보이는 과금유도식 구조 2.오버히트의 결투장수준 만큼이나 처참한 자동전투AI (정말로 심각함) 3.애매한 게임일러스트들과 컨셉 (말은 사이버 펑크 라지만 전혀 안느껴진다. 그렇다고 일러스트 자체가 그렇게 괜찮은건아님 ) 4.자잘한 오류와 인터페이스 그리고 불안한 운영방식(가장 현재 말이 많이나오고 있는 문제점이다. 문제1과 더불어서 다른 양산 가챠게임보다 심각할 정도로 운영이 ...
전체 리뷰",2
